filename,filetype,filesize,codesecsize,md5,imphash,compilationtime,addressep,sectionep,tlssections,originalfilename,sectioncount,secname1,secname2,secname3,secname4,secname5,secname6,secsize1,secsize2,secsize3,secsize4,secsize5,secsize6,secent1,secent2,secent3,secent4,secent5,secent6,functionstotal,refslocal,refsglobalvar,refsunknown,apitotal,apimisses,stringsreferenced,stringsdangling,stringsnoref,ratiofunc,ratioapi,ratiostring,getprocaddress,memallocation,createthread,ctshortestpath,callbackcount,cbaveragesize,cblargestsize,stringsrefhisto
038ee601e4d9702cf23133b7bf694beb5d28afb999739c354c4d6e0f7c269f22,PE32 executable (GUI) Intel 80386 for MS Windows,1562601,524800,1e6d0b59d4fb7650453c207688385f3a,aaaa8913c89c8aa4a5d93f06853894da,2010-04-16 07:47:33,0x16310,.text|0,0,,4,.text,.rdata,.data,.rsrc,,,524800,55808,26624,96768,,,6.634724770481731,4.880067258044234,2.201764989626115,4.794571332238528,,,2675,13282,22,4,2443,20,562,0,18069,5.097179878048781,4.655106707317073,1.0708841463414636,29,31,4,4,4,84,131,5-22-65-179-152-44-3-13-35
0ff72ba33898c07eb26ffea210fab9fbe199aa54f55b2be68b9dea94273e624a,PE32 executable (GUI) Intel 80386 for MS Windows UPX compressed,892350,270848,779a79c11f581b84e7c81f321fd8d743,890e522b31701e079a367b89393329e6,2012-01-29 21:32:28,0xb7e70,UPX1|1,0,,3,UPX0,UPX1,.rsrc,,,,0,270848,27136,,,,0.0,7.929033954133817,5.402807530618025,,,,2,0,0,0,0,0,0,0,18707,0.007384215500945179,0.0,0.0,0,0,0,0,0,0,0,0-0-0-0-0-0-0-0-0
1f76c2957c2c39ec83a817479dda38c5047d153dbe466c2aabff7b4354e0647f,PE32 executable (GUI) Intel 80386 for MS Windows,1157417,526336,6c34d4296126679d9c6a0bc2660dc453,d3bf8a7746a8d1ee8f6e5960c3f69378,2012-01-29 21:32:28,0x165c1,.text|0,0,,4,.text,.rdata,.data,.rsrc,,,526336,57344,26624,35328,,,6.684690148171277,4.799741132252141,2.150071539167753,5.630671057543231,,,2613,12988,37,1,2540,36,536,12,17475,4.964509362840467,4.825814688715953,1.0183608949416343,25,33,4,4,4,71,101,7-16-63-176-138-40-4-12-35
3c22bcf90b1f94691f9982de6d603f27517799684cbc77e0e1b08e327a0e4c00,PE32 executable (GUI) Intel 80386 for MS Windows,75776,23552,2827450763b55c5e71fda3caaf8e75f9,394b3e18e03537a1c51f949fab757567,2013-05-07 13:22:08,0x17e00,.rsrc|1,0,Dropbox.exe,3,pec1,.rsrc,.rsrc,,,,23552,25600,25600,,,,7.893564360023055,5.537302700294467,7.38508764470497,,,,0,0,0,0,0,0,0,0,1238,0.0,0.0,0.0,0,0,0,0,0,0,0,0-0-0-0-0-0-0-0-0
56ea4781ccefb7596e77fcb7a57fb703007f2fb9b94fe33a3cc5257ab7996d1c,PE32 executable (GUI) Intel 80386 for MS Windows,307200,12288,dd1101adc86fd282f5f183942cc2f3b7,afa6774859bc8161a025b0577286ce3e,2012-08-26 05:50:37,0x10ec,.text|0,0,Stub.exe,3,.text,.data,.rsrc,,,,12288,0,290816,,,,4.869821891477226,0.0,7.951756184515005,,,,9,2,0,0,23,13,1,0,5854,0.732421875,1.8717447916666665,0.08138020833333333,0,0,0,0,0,0,0,0-1-0-0-0-0-0-0-0
647dc0a8981f507602d2b8963420892e253742c5f93536e5a857ac585a9544a6,PE32 executable (GUI) Intel 80386 for MS Windows,1352589,524800,a74ef893b1bf21c9df6d8e31285db981,aaaa8913c89c8aa4a5d93f06853894da,2010-04-16 07:47:33,0x16310,.text|0,0,,4,.text,.rdata,.data,.rsrc,,,524800,55808,26624,97280,,,6.634724770481731,4.880067258044234,2.201764989626115,6.3652812675883474,,,2675,13282,22,4,2443,20,562,0,31476,5.097179878048781,4.655106707317073,1.0708841463414636,29,31,4,4,4,84,131,5-22-65-179-152-44-3-13-35
6a0d1ea10ad7821a2b07ab5b1aa71365a1d3af06788154025eb30314823b9670,PE32 executable (GUI) Intel 80386 for MS Windows,1092866,524800,a988235ad7d47acbeca5ccb4ea5a1ed5,aaaa8913c89c8aa4a5d93f06853894da,2010-04-16 07:47:33,0x16310,.text|0,0,,4,.text,.rdata,.data,.rsrc,,,524800,55808,26624,28672,,,6.634724770481731,4.880067258044234,2.201764989626115,5.286292699816573,,,2675,13282,22,4,2443,20,562,0,18652,5.097179878048781,4.655106707317073,1.0708841463414636,29,31,4,4,4,84,131,5-22-65-179-152-44-3-13-35
6eeb5bcfc5d28ccad251035b11b08d553f7d10e22574209524b71a0dff1dcd3f,PE32 executable (GUI) Intel 80386 for MS Windows,75776,23552,c2237e9d415f542ce6e73adb260af123,394b3e18e03537a1c51f949fab757567,2013-05-07 13:22:08,0x17e00,.rsrc|1,0,Dropbox.exe,3,pec1,.rsrc,.rsrc,,,,23552,25600,25600,,,,7.893564360023055,5.537302700294467,7.3872149234740645,,,,0,0,0,0,0,0,0,0,1234,0.0,0.0,0.0,0,0,0,0,0,0,0,0-0-0-0-0-0-0-0-0
74e21a71ded8ce81aafc380e439c0851a1df9001f4c342a7c11bd71c3c9c3a80,PE32 executable (GUI) Intel 80386 for MS Windows,1494961,526336,e03be1849ad7cecba1e20923074cd22f,d3bf8a7746a8d1ee8f6e5960c3f69378,2012-01-29 21:32:28,0x165c1,.text|0,0,,4,.text,.rdata,.data,.rsrc,,,526336,57344,26624,28672,,,6.684690148171277,4.799741132252141,2.150071539167753,5.223011124474851,,,2613,12988,37,1,2540,36,536,12,40555,4.964509362840467,4.825814688715953,1.0183608949416343,25,33,4,4,4,71,101,7-16-63-176-138-40-4-12-35
7525af4888f939e7a1df51bb8737a887af0b705d72e89a0b573f35ea57ace888,PE32 executable (GUI) Intel 80386 Mono/.Net assembly for MS Windows,598062,208896,5a8975873f52436377d8fb0b5ab0d87a,a7f367ba8a92c23dbdc563065bea5060,2012-10-22 21:25:00,0x1100,.jkjfgbj|0,0,°§ã±¬òäöýÝÅ£°ðïªƒäƒÎ¾¦ð‰ë¬åïÍ.exe,3,.jkjfgbj,.ljkndj,.klmnfjh,,,,208896,0,102400,,,,5.166262146483606,0.0,6.766430933743999,,,,25,1,0,0,23,0,1,0,7642,0.11967677696078433,0.11010263480392157,0.004787071078431373,0,0,0,0,0,0,0,0-1-0-0-0-0-0-0-0
7a763ecc8ab23c3ade2455c2e91b506be910bed686fc3d32acb9574d7d5abf27,PE32 executable (GUI) Intel 80386 for MS Windows,105984,41984,d7f34168b1a7dd7cbd8e62a5ab1ebc0e,394b3e18e03537a1c51f949fab757567,2014-06-07 12:05:20,0x3ae00,.rsrc|1,0,š×Ÿ¦­.exe,3,pec1,.rsrc,.rsrc,,,,41984,25600,37376,,,,7.916291344084975,5.850645501202936,7.67640648101998,,,,0,0,0,0,0,0,0,0,1875,0.0,0.0,0.0,0,0,0,0,0,0,0,0-0-0-0-0-0-0-0-0
a8379b51bbc6b2bb37ca4d15afb59dd645cb565ee3f0460ff0bd257352d85c6c,PE32 executable (GUI) Intel 80386 for MS Windows UPX compressed,704456,270848,13d939b2412c6adbab3cc1b539166671,890e522b31701e079a367b89393329e6,2012-01-29 21:32:28,0xb6e70,UPX1|1,0,,3,UPX0,UPX1,.rsrc,,,,0,270848,21504,,,,0.0,7.929074048843723,5.2994430216788055,,,,6,0,0,0,0,0,0,0,14900,0.02215264650283554,0.0,0.0,0,0,0,0,0,0,0,0-0-0-0-0-0-0-0-0
ab40d67f4ed686f8f7cf686fc9c8a6f9f8f2b6fd80e0bf8e129875e2e428f24e,PE32 executable (GUI) Intel 80386 for MS Windows Petite compressed,992486,156672,2d722592a4e3c8030410dccccb221ce4,1f6d4944c0a3d88fe2382097dbb39b31,2012-08-20 18:37:52,0x2c046,,0,Proyecto1.exe,4,.petite,,.rsrc,,,,2425393152,0,2252,1024,,,5.455354649662423,0.0,3.0304381958718034,4.645673551248216,,,12,8,0,0,0,0,0,0,8022,0.07659313725490197,0.0,0.0,0,0,0,0,0,0,0,0-0-0-0-0-0-0-0-0
c10f703839ec0a82a248883b1b8885747b5fb145d0aeb0bad71e06980425a4fa,PE32 executable (GUI) Intel 80386 for MS Windows,315427,24576,93b630891db21a4a2350280a360c713d,2ecbded1987b7ffdd7cf0e5e85d399dd,2012-09-21 19:59:43,0x10b0,.text|0,0,Stub.exe,3,.text,.data,.rsrc,,,,24576,0,4096,,,,4.996390595111941,0.0,1.8562034913770455,,,,20,1,0,0,16,0,1,0,4561,0.8138020833333334,0.6510416666666666,0.040690104166666664,0,0,0,0,0,0,0,0-1-0-0-0-0-0-0-0
cfb7d7c6a5dbda5737e492bb2bacfecd975a4c0977050184a948dd5c25ab8b7d,PE32 executable (GUI) Intel 80386 for MS Windows,1157435,526336,bc97437fec7e7e8634c2eabae3cc4832,d3bf8a7746a8d1ee8f6e5960c3f69378,2012-01-29 21:32:28,0x165c1,.text|0,0,Dropbox.exe,4,.text,.rdata,.data,.rsrc,,,526336,57344,26624,35328,,,6.684690148171277,4.799741132252141,2.150071539167753,5.542513922602705,,,2613,12988,37,1,2540,36,536,12,17207,4.964509362840467,4.825814688715953,1.0183608949416343,25,33,4,4,4,71,101,7-16-63-176-138-40-4-12-35
db6883b0dd7c5d3a23fb9609b087e8494cb08ca9d478878e07d868bf68e52267,PE32 executable (GUI) Intel 80386 for MS Windows,375392,32768,ed8d7ed45b64890b8901b735018318f3,6128d5560c00a7a89ac8a995f4877e9a,2012-10-30 20:29:27,0x10e0,.text|0,0,STB.exe,3,.text,.data,.rsrc,,,,32768,0,4096,,,,6.398706793436938,0.0,2.235185364607506,,,,18,2,0,0,20,3,1,0,5569,0.54931640625,0.6103515625,0.030517578125,0,0,0,0,0,0,0,0-1-0-0-0-0-0-0-0
dcea2e230e0d0c483e0b816f4a8b58d9c0f0eab18a2d4db03a04fa257dcce4d9,PE32 executable (GUI) Intel 80386 for MS Windows,1064354,526336,15ebe16cd9500de534d5bfd5eeceaf73,d3bf8a7746a8d1ee8f6e5960c3f69378,2011-12-23 10:59:31,0x165c1,.text|0,0,,4,.text,.rdata,.data,.rsrc,,,526336,57344,26624,28672,,,6.684966596832797,4.799718777418673,2.150071539167753,5.261547292967067,,,2618,12995,37,1,2540,35,536,12,15504,4.974008998054474,4.825814688715953,1.0183608949416343,25,33,4,4,4,71,101,7-16-63-176-138-40-4-12-35
e125218316467d4749e957b87201f8fd4c4ba14857588d2aca57d94294137a00,PE32 executable (GUI) Intel 80386 for MS Windows UPX compressed,282624,278016,a73351623577f44a2b578fed1e78e37e,cba5bd52b3e624400ffe41eb22644b79,1992-06-19 22:22:17,0x55bf0,UPX1|1,0,,3,UPX0,UPX1,.rsrc,,,,0,278016,3584,,,,0.0,7.7540879892552965,5.571304966611435,,,,32,1,0,0,0,0,0,0,4240,0.1151012891344383,0.0,0.0,0,0,0,0,0,0,0,0-0-0-0-0-0-0-0-0
e17bdf72b3c6c53a3ee77e3edc0b9cf7a2eb194210e071f4eb80aa1d6ee3cb2d,PE32 executable (GUI) Intel 80386 for MS Windows,487501,180224,d2adecc6287dd4d559fe6ce2ce7a7e31,1bab4908de92fac1c6ff4d553b1fd920,2012-06-25 20:21:50,0x1678,.text|0,0,sdhartiuj5ri45qwhfdberaured.exe,3,.text,.data,.rsrc,,,,180224,4096,16384,,,,7.220307676148524,0.0,7.3868568244364585,,,,223,339,0,2,114,0,21,1,9939,1.2373490767045456,0.6325461647727273,0.11652166193181819,0,0,0,0,0,0,0,1-8-1-3-3-2-0-2-1
e57653ec973719780bdd85c6fa09d25d61848c421c3819de02f3ea24a1235456,PE32 executable (GUI) Intel 80386 for MS Windows,1127716,524800,8e0f021dcbbfa586a1c6780e77ac0fb6,aaaa8913c89c8aa4a5d93f06853894da,2010-04-16 07:47:33,0x16310,.text|0,0,,4,.text,.rdata,.data,.rsrc,,,524800,55808,26624,29184,,,6.634724770481731,4.880067258044234,2.201764989626115,5.363998884921135,,,2675,13282,22,4,2443,20,562,0,19025,5.097179878048781,4.655106707317073,1.0708841463414636,29,31,4,4,4,84,131,5-22-65-179-152-44-3-13-35
f8ff6706daafd040978f77ced7b5965aaa8304cd5297197f790c3532462667de,PE32 executable (GUI) Intel 80386 for MS Windows,1238252,507392,01dec1b1d0760d5a1a562edcfeb478d1,7aacc6b600bd900374e9529a20c9b64c,2008-12-24 09:00:07,0x17770,.text|0,0,,4,.text,.rdata,.data,.rsrc,,,507392,54784,11776,282624,,,6.620303987624808,4.9179360029243835,3.6952785183023527,5.645015931487277,,,2347,11991,23,4,2432,165,662,24,16962,4.6256149091826435,4.79313824419778,1.3047111503531785,28,25,4,4,4,84,131,6-29-78-204-180-47-4-28-37
